date,open,high,low,close,VWAP,volume,Change Percent,Change,Trade Value
2021/2/10,139.1803,140.0452,138.2259,138.8423,139.0916,10316760,0.057,0.079532,1443427680
2021/2/11,138.8423,139.7271,137.4107,138.4546,138.5759,9197758,-0.279,-0.387717,1281824510
2021/2/12,138.2359,140.7809,138.1862,140.423,140.1249,8320908,1.422,1.9684,1172714310
2021/2/16,142.7095,144.4692,141.5662,143.8031,143.5489,12123817,2.407,3.3801,1750403400
2021/2/17,143.1072,144.5288,142.282,144.2504,143.7786,10831984,0.311,0.447366,1566151130
2021/2/18,143.1569,144.9364,142.5604,144.7376,143.9893,10587828,0.338,0.487131,1533091470
2021/2/19,145.006,147.9685,145.006,147.1533,147.0102,11966978,1.669,2.4158,1769672570
2021/2/22,146.0101,149.3106,145.9305,148.5352,148.5655,11484334,0.939,1.3819,1716103340
2021/2/23,150.6229,151.4182,148.7142,149.7282,149.9878,16225955,0.803,1.193,2447975120
2021/2/24,149.2311,152.8597,149.2311,152.3627,151.7466,15054097,1.76,2.6345,2297949400
2021/2/25,153.3667,153.9931,149.7083,150.2948,151.5978,18106274,-1.357,-2.0678,2797670490
2021/2/26,149.42,149.9907,145.6522,146.3083,147.2703,19823019,-2.652,-3.9865,2936620070
2021/3/1,148.6446,150.4936,147.6106,149.6188,149.3382,14763252,2.263,3.3105,2217229670
2021/3/2,149.2013,150.8913,148.9627,149.1317,149.7595,14217749,-0.326,-0.487132,2141992740
2021/3/3,150.3445,154.0726,149.9419,152.0147,152.6603,14319813,1.933,2.883,2198793340
2021/3/4,151.7165,153.4747,147.7499,149.6785,150.5915,20074957,-1.537,-2.3362,3041466340
2021/3/5,152.3179,152.5913,147.1036,150.0264,149.5023,18459288,0.232,0.347951,2774687630
2021/3/8,151.5773,154.5498,149.8674,152.0147,152.2096,17126210,1.325,1.9883,2617734610
2021/3/9,150.613,153.3469,148.9428,150.941,151.3852,16201771,-0.706,-1.0737,2467006900
2021/3/10,151.0206,155.2457,150.6229,154.2217,153.4767,14334443,2.173,3.2807,2212247640
2021/3/11,153.2077,155.2357,152.4621,153.4165,153.8846,11769197,-0.522,-0.805258,1821561920
2021/3/12,155.9416,156.7071,154.1622,155.2357,155.3287,12845584,1.186,1.8193,2006861180
2021/3/15,155.4346,156.0012,153.0586,154.4603,154.0987,12101018,-0.5,-0.775433,1875421790
2021/3/16,153.1878,153.6948,151.2989,152.6112,152.5463,12803995,-1.197,-1.8491,1964581760
2021/3/17,154.4305,155.9615,152.1539,154.1819,153.6539,13948422,1.029,1.5707,2155341940
2021/3/18,156.6773,160.7433,156.1901,156.727,158.5078,21891764,1.651,2.545,3490559180
2021/3/19,154.5995,155.027,150.3048,154.2317,153.303,52523466,-1.592,-2.4953,8093493110
2021/3/22,151.9054,153.0685,149.7282,150.0861,150.8742,17524339,-2.688,-4.1456,2658685560
2021/3/23,149.4498,151.2293,148.0878,148.5849,149.4943,17066062,-1,-1.5012,2565186790
2021/3/24,149.1217,152.2831,148.9826,149.7381,150.6424,13077283,0.776,1.1532,1982532280
2021/3/25,149.1217,152.0744,148.4557,151.6568,150.7556,15598118,1.281,1.9187,2390812690
2021/3/26,153.3966,154.5398,151.6568,154.1819,153.2427,16746090,1.665,2.5251,2580872410
2021/3/29,151.2294,152.8275,150.1557,151.7861,151.7397,17563247,-1.554,-2.3959,2680371920
2021/3/30,153.5556,154.9574,152.979,153.5755,153.7961,13177134,1.179,1.7895,2038327800
2021/3/31,152.3825,153.5855,151.2293,151.3387,151.7666,16717936,-1.456,-2.2368,2551679240
2021/4/1,151.0106,152.8896,150.6627,152.81,152.0274,16554612,0.972,1.4713,2531345230
2021/4/5,154.4,154.94,152.6,153.62,153.5769,13503042,0.53,0.809972,2073750710
2021/4/6,152.79,154.28,151.86,152.54,152.549,13060520,-0.703,-1.08,1992283370
2021/4/7,153.1,155.23,152.65,154.93,154.1945,16893760,1.567,2.39,2601906970
2021/4/8,154,155.505,152.31,155.12,154.2764,12332207,0.123,0.19,1902269950
2021/4/9,155.81,157.042,154.97,156.28,156.0206,12115831,0.748,1.16,1890100070
2021/4/12,155.58,157.25,155.57,155.95,156.0923,12260865,-0.211,-0.33,1913802210
2021/4/13,154.75,155.2,152.43,154.09,154.1074,16065281,-1.193,-1.86,2476584850
2021/4/14,151.47,153.83,150.93,151.21,152.1703,19930229,-1.869,-2.88,2726846510
2021/4/15,151.25,152.2,149.32,152.17,151.0706,17603620,0.635,0.96,2658646940
2021/4/16,153.87,154.51,152.69,153.3,153.4064,13766709,0.743,1.13,2112022490
2021/4/19,153.42,153.88,152.22,152.65,152.8878,11858837,-0.424,-0.65,1813039190
2021/4/20,151.74,151.75,148.65,149.27,149.7397,13712024,-2.214,-3.38,2053015250
2021/4/21,147.79,150.61,146.79,150.54,149.6053,12231810,0.851,1.27,1829680600
2021/4/22,150.23,150.3,147.26,147.37,148.3585,15244562,-2.106,-3.17,2261747960
2021/4/23,147.18,151.13,146.685,150.19,149.673,14041697,1.914,2.82,2119836470
2021/4/26,150.78,152.46,150.38,150.56,151.2835,10788814,0.246,0.37,1634359990
2021/4/27,150.5,151.57,150.11,151.25,151.0092,12817784,0.458,0.69,1935311690
2021/4/28,152.43,152.89,151.4,152.23,152.2099,8938985,0.648,0.98,1360523340
2021/4/29,153.54,155.28,153.2,155.19,154.5166,12972208,1.944,2.96,2003904890
2021/4/30,154.1,154.49,153.01,153.81,153.6918,11702575,-0.889,-1.38,1798412060
2021/5/3,154.85,155.48,153.13,153.36,154.0395,11797462,-0.293,-0.45,1817332180
2021/5/4,152.87,155.64,152.14,155.48,154.3635,12973349,1.382,2.12,2002182510
2021/5/5,156,158.28,157.2332,157.52,157.1696,6935001,1.312,2.04,1650278250
2021/5/6,158.07,160.825,157.16,160.69,159.5364,13534022,2.012,3.17,2158459740
2021/5/7,157.22,161.5,157.02,161.24,160.4139,14255494,0.342,0.55,2285958310
2021/5/10,161.5,163.73,161.12,161.22,162.4528,13999517,-0.012,-0.02,2274094080
2021/5/11,161.08,162.39,158.04,158.54,159.3589,15448851,-1.662,-2.68,2461800930
2021/5/12,159.61,160.78,157.03,157.45,158.5434,14377528,-0.688,-1.09,2279920470
2021/5/13,158.18,162.445,157.68,161.5,161.0116,15394571,2.572,4.05,2478375730
2021/5/14,162.39,164.45,161.99,164.01,163.5782,10581472,1.554,2.51,1730639860
2021/5/17,163.37,164.85,163.03,164.67,164.1834,9884103,0.402,0.66,1621066400
2021/5/18,164.68,165.5,162.24,162.35,163.8483,11088835,-1.409,-2.32,1816992260
2021/5/19,161,161.18,158.64,161.11,160.2557,13274342,-0.764,-1.24,2127815690
2021/5/20,160.83,161.86,159.52,160.83,160.878,10423477,-0.174,-0.28,1676745340
2021/5/21,161.34,163.223,160.94,162.66,162.551,10203992,1.138,1.83,1658635040
2021/5/24,163.36,164.225,162.1189,163.54,163.5222,9435398,0.541,0.88,1543322160
2021/5/25,163.85,165.7,161.56,161.85,163.068,12605468,-1.033,-1.69,2056109310
2021/5/26,163.57,163.74,161.305,161.83,162.1798,13054344,-0.012,-0.02,2117258990
2021/5/27,163.95,164.75,162.57,164.35,163.9527,15702379,1.557,2.52,2573533850
2021/5/28,164.68,164.94,163.26,164.24,164.1174,10291204,-0.067,-0.11,1688831530
